"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0006",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0026",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0014",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0023",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0017",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0007",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0021",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0008",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0027",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0011",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0024",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0020",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0028",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0010",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0029",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0005",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0001",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0025",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0003",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0023",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0006",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0029",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0028",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0004",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0002",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","S00PP-0027",0,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"d0fae733b7242a6aa4da9bb089246416","S00PP-0016",0,"teria","micutes","stridia","istensenellales","istensenellaceae","istensenellaceae_R-7_group"
"d0fae733b7242a6aa4da9bb089246416","S00PP-0027",0,"teria","micutes","stridia","istensenellales","istensenellaceae","istensenellaceae_R-7_group"
"d0fae733b7242a6aa4da9bb089246416","S00PP-0026",0,"teria","micutes","stridia","istensenellales","istensenellaceae","istensenellaceae_R-7_group"
"d0fae733b7242a6aa4da9bb089246416","S00PP-0022",0,"teria","micutes","stridia","istensenellales","istensenellaceae","istensenellaceae_R-7_group"
